yyyy mm dd doy hh mm ss     H [nT]     D [nT]     Z [nT]     Proton [nT]
2023 07 10 191 00 17 15   29195.92    1751.10   39955.66   50576.79
2023 07 10 191 00 17 20   29195.87    1751.07   39955.70   50576.72
2023 07 10 191 00 17 25   29195.83    1751.02   39955.71   50576.74
2023 07 10 191 00 17 30   29195.76    1750.94   39955.77   50576.77
2023 07 10 191 00 17 35   29195.72    1750.92   39955.77   50576.68
2023 07 10 191 00 17 40   29195.73    1750.89   39955.75   50576.71
2023 07 10 191 00 17 45   29195.72    1750.85   39955.79   50576.66
2023 07 10 191 00 17 50   29195.70    1750.81   39955.81   50576.74
2023 07 10 191 00 17 55   29195.68    1750.79   39955.81   50576.77
2023 07 10 191 00 18 00   29195.65    1750.81   39955.79   50576.65
2023 07 10 191 00 18 05   29195.62    1750.86   39955.77   50576.68
2023 07 10 191 00 18 10   29195.59    1750.91   39955.73   50576.61
2023 07 10 191 00 18 15   29195.61    1750.92   39955.72   50576.67
2023 07 10 191 00 18 20   29195.62    1750.90   39955.73   50576.56
2023 07 10 191 00 18 25   29195.63    1750.83   39955.73   50576.61
2023 07 10 191 00 18 30   29195.63    1750.75   39955.72   50576.68
2023 07 10 191 00 18 35   29195.64    1750.64   39955.76   50576.59
2023 07 10 191 00 18 40   29195.64    1750.54   39955.80   50576.67
2023 07 10 191 00 18 45   29195.68    1750.45   39955.85   50576.79
2023 07 10 191 00 18 50   29195.73    1750.39   39955.89   50576.75
2023 07 10 191 00 18 55   29195.79    1750.37   39955.94   50576.87
2023 07 10 191 00 19 00   29195.82    1750.39   39955.91   50576.85
2023 07 10 191 00 19 05   29195.77    1750.43   39955.95   50576.87
2023 07 10 191 00 19 10   29195.70    1750.46   39955.95   50576.86
2023 07 10 191 00 19 15   29195.65    1750.52   39955.92   50576.67
2023 07 10 191 00 19 20   29195.66    1750.56   39955.89   50576.69
2023 07 10 191 00 19 25   29195.68    1750.58   39955.88   50576.77
2023 07 10 191 00 19 30   29195.68    1750.58   39955.85   50576.71
2023 07 10 191 00 19 35   29195.63    1750.58   39955.84   50576.75
2023 07 10 191 00 19 40   29195.58    1750.59   39955.85   50590.96
2023 07 10 191 00 19 45   29195.55    1750.59   39955.85   50576.62
2023 07 10 191 00 19 50   29195.55    1750.56   39955.87   50576.67
2023 07 10 191 00 19 55   29195.56    1750.52   39955.87   50576.72
2023 07 10 191 00 20 00   29195.55    1750.44   39955.90   50576.67
2023 07 10 191 00 20 05   29195.55    1750.40   39955.90   50576.72
2023 07 10 191 00 20 10   29195.54    1750.38   39955.91   50576.70
2023 07 10 191 00 20 15   29195.44    1750.41   39955.89   50576.69
2023 07 10 191 00 20 20   29195.39    1750.45   39955.88   50576.53
2023 07 10 191 00 20 25   29195.36    1750.52   39955.84   50576.50
2023 07 10 191 00 20 30   29195.37    1750.57   39955.83   50576.57
2023 07 10 191 00 20 35   29195.37    1750.61   39955.79   50576.53
2023 07 10 191 00 20 40   29195.36    1750.64   39955.77   50576.46
2023 07 10 191 00 20 45   29195.31    1750.68   39955.77   50576.43
2023 07 10 191 00 20 50   29195.27    1750.73   39955.75   50576.39
2023 07 10 191 00 20 55   29195.22    1750.75   39955.75   50576.42
2023 07 10 191 00 21 00   29195.22    1750.76   39955.71   50576.29
2023 07 10 191 00 21 05   29195.20    1750.75   39955.71   50576.34
2023 07 10 191 00 21 10   29195.17    1750.75   39955.70   50576.28
2023 07 10 191 00 21 15   29195.11    1750.75   39955.66   50576.28
2023 07 10 191 00 21 20   29195.05    1750.75   39955.66   50576.16
2023 07 10 191 00 21 25   29195.00    1750.74   39955.66   50576.13
2023 07 10 191 00 21 30   29194.92    1750.71   39955.70   50576.22
2023 07 10 191 00 21 35   29194.89    1750.67   39955.72   50576.12
