yyyy mm dd doy hh mm ss     H [nT]     D [nT]     Z [nT]     Proton [nT]
2023 07 10 191 00 31 50   29193.26    1748.79   39956.12   50575.41
2023 07 10 191 00 31 55   29193.20    1748.77   39956.13   50575.49
2023 07 10 191 00 32 00   29193.18    1748.74   39956.13   50575.40
2023 07 10 191 00 32 05   29193.19    1748.72   39956.11   50575.45
2023 07 10 191 00 32 10   29193.17    1748.65   39956.18   50575.39
2023 07 10 191 00 32 15   29193.16    1748.59   39956.24   50575.52
2023 07 10 191 00 32 20   29193.18    1748.58   39956.21   50575.46
2023 07 10 191 00 32 25   29193.17    1748.57   39956.19   50575.38
2023 07 10 191 00 32 30   29193.16    1748.57   39956.20   50575.44
2023 07 10 191 00 32 35   29193.13    1748.58   39956.21   50575.39
2023 07 10 191 00 32 40   29193.10    1748.60   39956.18   50575.46
2023 07 10 191 00 32 45   29193.06    1748.61   39956.16   50575.38
2023 07 10 191 00 32 50   29193.00    1748.58   39956.16   50575.27
2023 07 10 191 00 32 55   29192.95    1748.58   39956.13   50575.29
2023 07 10 191 00 33 00   29192.89    1748.58   39956.13   50575.24
2023 07 10 191 00 33 05   29192.83    1748.61   39956.11   50575.22
2023 07 10 191 00 33 10   29192.84    1748.64   39956.10   50575.21
2023 07 10 191 00 33 15   29192.84    1748.63   39956.10   50575.18
2023 07 10 191 00 33 20   29192.84    1748.60   39956.11   50575.10
2023 07 10 191 00 33 25   29192.79    1748.52   39956.12   50575.16
2023 07 10 191 00 33 30   29192.76    1748.44   39956.13   50575.14
2023 07 10 191 00 33 35   29192.75    1748.34   39956.18   50575.09
2023 07 10 191 00 33 40   29192.76    1748.30   39956.20   50575.22
2023 07 10 191 00 33 45   29192.79    1748.23   39956.20   50575.19
2023 07 10 191 00 33 50   29192.84    1748.23   39956.22   50575.19
2023 07 10 191 00 33 55   29192.87    1748.21   39956.23   50575.28
2023 07 10 191 00 34 00   29192.91    1748.22   39956.23   50575.24
2023 07 10 191 00 34 05   29192.90    1748.23   39956.24   50575.29
2023 07 10 191 00 34 10   29192.88    1748.26   39956.27   50575.29
2023 07 10 191 00 34 15   29192.84    1748.27   39956.32   50575.34
2023 07 10 191 00 34 20   29192.77    1748.32   39956.29   50575.24
2023 07 10 191 00 34 25   29192.69    1748.33   39956.25   50575.25
2023 07 10 191 00 34 30   29192.61    1748.34   39956.20   50575.15
2023 07 10 191 00 34 35   29192.54    1748.35   39956.17   50574.99
2023 07 10 191 00 34 40   29192.50    1748.35   39956.17   50575.04
2023 07 10 191 00 34 45   29192.49    1748.37   39956.14   50575.01
2023 07 10 191 00 34 50   29192.51    1748.38   39956.14   50574.94
2023 07 10 191 00 34 55   29192.56    1748.39   39956.12   50575.02
2023 07 10 191 00 35 00   29192.62    1748.38   39956.10   50574.97
2023 07 10 191 00 35 05   29192.66    1748.34   39956.12   50575.05
2023 07 10 191 00 35 10   29192.66    1748.28   39956.14   50575.05
2023 07 10 191 00 35 15   29192.64    1748.21   39956.20   50575.13
2023 07 10 191 00 35 20   29192.65    1748.15   39956.21   50575.05
2023 07 10 191 00 35 25   29192.57    1748.11   39956.22   50575.14
2023 07 10 191 00 35 30   29192.52    1748.10   39956.25   50575.08
2023 07 10 191 00 35 35   29192.41    1748.09   39956.25   50574.97
2023 07 10 191 00 35 40   29192.35    1748.10   39956.25   50575.01
2023 07 10 191 00 35 45   29192.31    1748.11   39956.26   50574.97
2023 07 10 191 00 35 50   29192.34    1748.12   39956.24   50574.92
2023 07 10 191 00 35 55   29192.38    1748.16   39956.20   50574.98
2023 07 10 191 00 36 00   29192.36    1748.17   39956.18   50574.93
2023 07 10 191 00 36 05   29192.31    1748.16   39956.23   50574.99
2023 07 10 191 00 36 10   29192.31    1748.20   39956.23   50574.96
2023 07 10 191 00 36 15   29192.29    1748.22   39956.20   50574.92
2023 07 10 191 00 36 20   29192.28    1748.20   39956.23   50574.84
2023 07 10 191 00 36 25   29192.29    1748.19   39956.21   50574.93
2023 07 10 191 00 36 30   29192.32    1748.15   39956.17   50574.92
2023 07 10 191 00 36 35   29192.36    1748.09   39956.20   50574.90
2023 07 10 191 00 36 40   29192.38    1748.01   39956.24   50575.00
2023 07 10 191 00 36 45   29192.38    1747.94   39956.27   50574.96
2023 07 10 191 00 36 50   29192.37    1747.89   39956.27   50575.04
2023 07 10 191 00 36 55   29192.33    1747.85   39956.29   50575.01
2023 07 10 191 00 37 00   29192.33    1747.83   39956.30   50574.96
2023 07 10 191 00 37 05   29192.37    1747.86   39956.30   50575.04
2023 07 10 191 00 37 10   29192.36    1747.89   39956.29   50575.06
2023 07 10 191 00 37 15   29192.31    1747.94   39956.28   50575.04
2023 07 10 191 00 37 20   29192.26    1747.98   39956.27   50574.89
2023 07 10 191 00 37 25   29192.19    1748.06   39956.23   50574.90
2023 07 10 191 00 37 30   29192.15    1748.15   39956.21   50574.85
2023 07 10 191 00 37 35   29192.12    1748.22   39956.18   50574.75
2023 07 10 191 00 37 40   29192.08    1748.29   39956.13   50574.77
2023 07 10 191 00 37 45   29192.06    1748.32   39956.06   50574.73
2023 07 10 191 00 37 50   29191.99    1748.29   39956.09   50574.60
2023 07 10 191 00 37 55   29191.99    1748.27   39956.08   50574.69
2023 07 10 191 00 38 00   29191.99    1748.21   39956.06   50574.57
2023 07 10 191 00 38 05   29192.03    1748.12   39956.10   50574.65
2023 07 10 191 00 38 10   29192.06    1748.02   39956.13   50574.70
2023 07 10 191 00 38 15   29192.12    1747.91   39956.16   50574.82
2023 07 10 191 00 38 20   29192.15    1747.82   39956.21   50574.79
2023 07 10 191 00 38 25   29192.18    1747.74   39956.27   50574.90
2023 07 10 191 00 38 30   29192.21    1747.66   39956.29   50574.95
2023 07 10 191 00 38 35   29192.22    1747.62   39956.34   50574.91
2023 07 10 191 00 38 40   29192.21    1747.58   39956.37   50575.01
2023 07 10 191 00 38 45   29192.23    1747.57   39956.40   50575.04
2023 07 10 191 00 38 50   29192.23    1747.55   39956.40   50575.01
2023 07 10 191 00 38 55   29192.25    1747.53   39956.42   50575.09
2023 07 10 191 00 39 00   29192.24    1747.53   39956.44   50575.04
2023 07 10 191 00 39 05   29192.25    1747.55   39956.39   50575.05
2023 07 10 191 00 39 10   29192.22    1747.58   39956.35   50574.98
2023 07 10 191 00 39 15   29192.15    1747.62   39956.36   50574.95
2023 07 10 191 00 39 20   29192.10    1747.67   39956.32   50574.88
2023 07 10 191 00 39 25   29192.09    1747.71   39956.30   50574.92
2023 07 10 191 00 39 30   29192.09    1747.75   39956.29   50574.90
2023 07 10 191 00 39 35   29192.09    1747.77   39956.28   50574.82
2023 07 10 191 00 39 40   29192.10    1747.77   39956.27   50574.88
2023 07 10 191 00 39 45   29192.12    1747.77   39956.27   50574.89
2023 07 10 191 00 39 50   29192.14    1747.76   39956.26   50574.81
2023 07 10 191 00 39 55   29192.18    1747.72   39956.26   50574.93
2023 07 10 191 00 40 00   29192.21    1747.62   39956.29   50574.89
2023 07 10 191 00 40 05   29192.21    1747.52   39956.34   50574.95
2023 07 10 191 00 40 10   29192.13    1747.44   39956.38   50574.98
2023 07 10 191 00 40 15   29192.01    1747.41   39956.39   50574.92
2023 07 10 191 00 40 20   29191.89    1747.41   39956.43   50574.80
2023 07 10 191 00 40 25   29191.84    1747.44   39956.45   50574.84
2023 07 10 191 00 40 30   29191.89    1747.49   39956.45   50574.86
2023 07 10 191 00 40 35   29191.97    1747.52   39956.34   50574.79
2023 07 10 191 00 40 40   29192.04    1747.49   39956.36   50574.91
2023 07 10 191 00 40 45   29192.07    1747.43   39956.37   50574.86
2023 07 10 191 00 40 50   29192.09    1747.37   39956.37   50574.94
2023 07 10 191 00 40 55   29192.06    1747.32   39956.34   50574.91
2023 07 10 191 00 41 00   29192.04    1747.29   39956.34   50574.84
2023 07 10 191 00 41 05   29192.04    1747.26   39956.39   50574.89
2023 07 10 191 00 41 10   29192.06    1747.24   39956.41   50574.93
2023 07 10 191 00 41 15   29192.10    1747.20   39956.47   50575.00
2023 07 10 191 00 41 20   29192.16    1747.15   39956.46   50574.98
2023 07 10 191 00 41 25   29192.20    1747.07   39956.49   50575.10
2023 07 10 191 00 41 30   29192.25    1746.97   39956.52   50575.15
2023 07 10 191 00 41 35   29192.31    1746.88   39956.59   50575.14
2023 07 10 191 00 41 40   29192.38    1746.82   39956.60   50575.29
2023 07 10 191 00 41 45   29192.39    1746.80   39956.62   50575.26
2023 07 10 191 00 41 50   29192.39    1746.82   39956.63   50575.33
2023 07 10 191 00 41 55   29192.34    1746.89   39956.63   50575.29
2023 07 10 191 00 42 00   29192.31    1746.94   39956.63   50575.20
2023 07 10 191 00 42 05   29192.26    1746.98   39956.64   50575.27
2023 07 10 191 00 42 10   29192.24    1747.04   39956.61   50575.23
2023 07 10 191 00 42 15   29192.15    1747.07   39956.64   50575.18
2023 07 10 191 00 42 20   29192.09    1747.12   39956.65   50575.07
2023 07 10 191 00 42 25   29192.07    1747.16   39956.59   50575.12
2023 07 10 191 00 42 30   29192.07    1747.19   39956.49   50575.03
2023 07 10 191 00 42 35   29192.06    1747.20   39956.43   50574.88
2023 07 10 191 00 42 40   29192.04    1747.18   39956.44   50574.95
2023 07 10 191 00 42 45   29192.04    1747.17   39956.42   50574.93
2023 07 10 191 00 42 50   29191.99    1747.15   39956.41   50574.82
2023 07 10 191 00 42 55   29192.00    1747.10   39956.39   50574.92
2023 07 10 191 00 43 00   29191.98    1747.05   39956.40   50574.81
2023 07 10 191 00 43 05   29192.01    1746.98   39956.43   50574.86
2023 07 10 191 00 43 10   29192.05    1746.92   39956.46   50574.93
2023 07 10 191 00 43 15   29192.06    1746.87   39956.49   50575.03
2023 07 10 191 00 43 20   29192.08    1746.84   39956.46   50574.94
2023 07 10 191 00 43 25   29192.07    1746.82   39956.47   50575.01
2023 07 10 191 00 43 30   29192.08    1746.81   39956.49   50574.95
2023 07 10 191 00 43 35   29192.09    1746.80   39956.49   50575.03
2023 07 10 191 00 43 40   29192.09    1746.79   39956.50   50575.03
2023 07 10 191 00 43 45   29192.06    1746.73   39956.52   50574.95
2023 07 10 191 00 43 50   29192.03    1746.68   39956.55   50575.04
2023 07 10 191 00 43 55   29192.00    1746.65   39956.57   50575.04
2023 07 10 191 00 44 00   29192.00    1746.61   39956.56   50574.97
2023 07 10 191 00 44 05   29192.02    1746.59   39956.58   50575.07
2023 07 10 191 00 44 10   29192.04    1746.55   39956.62   50575.11
2023 07 10 191 00 44 15   29192.05    1746.51   39956.63   50575.11
2023 07 10 191 00 44 20   29192.07    1746.52   39956.57   50575.02
2023 07 10 191 00 44 25   29192.01    1746.50   39956.56   50575.06
2023 07 10 191 00 44 30   29192.01    1746.50   39956.57   50575.02
2023 07 10 191 00 44 35   29191.99    1746.55   39956.55   50574.96
2023 07 10 191 00 44 40   29191.97    1746.60   39956.53   50574.99
2023 07 10 191 00 44 45   29191.93    1746.64   39956.51   50574.89
2023 07 10 191 00 44 50   29191.85    1746.69   39956.49   50574.90
2023 07 10 191 00 44 55   29191.79    1746.75   39956.43   50574.83
2023 07 10 191 00 45 00   29191.72    1746.83   39956.36   50574.66
2023 07 10 191 00 45 05   29191.67    1746.91   39956.27   50574.64
2023 07 10 191 00 45 10   29191.64    1746.95   39956.23   50574.58
2023 07 10 191 00 45 15   29191.66    1746.98   39956.18   50574.54
2023 07 10 191 00 45 20   29191.67    1746.96   39956.18   50574.47
2023 07 10 191 00 45 25   29191.65    1746.93   39956.19   50574.51
2023 07 10 191 00 45 30   29191.64    1746.90   39956.18   50574.51
2023 07 10 191 00 45 35   29191.62    1746.84   39956.19   50574.44
2023 07 10 191 00 45 40   29191.62    1746.77   39956.23   50574.54
2023 07 10 191 00 45 45   29191.66    1746.68   39956.24   50574.51
2023 07 10 191 00 45 50   29191.72    1746.59   39956.26   50574.60
2023 07 10 191 00 45 55   29191.80    1746.55   39956.27   50574.67
2023 07 10 191 00 46 00   29191.83    1746.54   39956.30   50574.65
2023 07 10 191 00 46 05   29191.87    1746.55   39956.34   50574.76
2023 07 10 191 00 46 10   29191.89    1746.58   39956.36   50574.81
2023 07 10 191 00 46 15   29191.89    1746.64   39956.37   50574.83
2023 07 10 191 00 46 20   29191.82    1746.73   39956.34   50574.72
2023 07 10 191 00 46 25   29191.72    1746.86   39956.25   50574.66
2023 07 10 191 00 46 30   29191.66    1746.97   39956.16   50574.58
2023 07 10 191 00 46 35   29191.65    1747.07   39956.09   50574.41
2023 07 10 191 00 46 40   29191.64    1747.12   39956.03   50574.40
2023 07 10 191 00 46 45   29191.63    1747.10   39956.02   50574.37
2023 07 10 191 00 46 50   29191.63    1747.04   39956.01   50574.38
2023 07 10 191 00 46 55   29191.64    1746.96   39956.01   50574.41
2023 07 10 191 00 47 00   29191.70    1746.89   39956.04   50574.38
2023 07 10 191 00 47 05   29191.76    1746.87   39956.05   50574.48
2023 07 10 191 00 47 10   29191.78    1746.88   39956.06   50574.49
2023 07 10 191 00 47 15   29191.74    1746.92   39956.04   50574.51
2023 07 10 191 00 47 20   29191.72    1746.94   39956.01   50574.40
2023 07 10 191 00 47 25   29191.71    1746.94   39956.01   50574.46
2023 07 10 191 00 47 30   29191.77    1746.90   39956.04   50574.42
2023 07 10 191 00 47 35   29191.82    1746.84   39956.07   50574.53
2023 07 10 191 00 47 40   29191.83    1746.80   39956.09   50574.59
2023 07 10 191 00 47 45   29191.80    1746.79   39956.11   50574.51
2023 07 10 191 00 47 50   29191.78    1746.81   39956.12   50574.54
2023 07 10 191 00 47 55   29191.79    1746.85   39956.11   50574.57
2023 07 10 191 00 48 00   29191.86    1746.85   39956.08   50574.51
2023 07 10 191 00 48 05   29191.93    1746.81   39956.14   50574.62
2023 07 10 191 00 48 10   29191.96    1746.77   39956.16   50574.69
2023 07 10 191 00 48 15   29191.94    1746.78   39956.13   50574.70
2023 07 10 191 00 48 20   29191.88    1746.84   39956.09   50574.55
2023 07 10 191 00 48 25   29191.80    1746.90   39956.04   50574.56
2023 07 10 191 00 48 30   29191.76    1746.94   39956.01   50574.41
2023 07 10 191 00 48 35   29191.68    1746.96   39955.99   50574.39
2023 07 10 191 00 48 40   29191.68    1746.97   39955.96   50574.37
2023 07 10 191 00 48 45   29191.70    1746.95   39955.93   50574.33
2023 07 10 191 00 48 50   29191.72    1746.89   39955.93   50574.36
2023 07 10 191 00 48 55   29191.70    1746.80   39955.95   50574.40
2023 07 10 191 00 49 00   29191.68    1746.77   39955.93   50574.31
2023 07 10 191 00 49 05   29191.67    1746.74   39955.96   50574.35
2023 07 10 191 00 49 10   29191.70    1746.74   39955.95   50574.36
2023 07 10 191 00 49 15   29191.73    1746.70   39955.98   50574.43
2023 07 10 191 00 49 20   29191.70    1746.66   39956.01   50574.37
2023 07 10 191 00 49 25   29191.68    1746.63   39956.00   50574.39
2023 07 10 191 00 49 30   29191.67    1746.64   39955.98   50574.40
2023 07 10 191 00 49 35   29191.65    1746.64   39955.96   50574.31
2023 07 10 191 00 49 40   29191.64    1746.64   39955.96   50574.36
2023 07 10 191 00 49 45   29191.60    1746.68   39955.97   50574.29
2023 07 10 191 00 49 50   29191.63    1746.72   39955.93   50574.28
2023 07 10 191 00 49 55   29191.66    1746.74   39955.91   50574.34
2023 07 10 191 00 50 00   29191.71    1746.73   39955.92   50574.28
2023 07 10 191 00 50 05   29191.76    1746.69   39955.93   50574.34
2023 07 10 191 00 50 10   29191.78    1746.65   39955.93   50574.42
2023 07 10 191 00 50 15   29191.79    1746.62   39955.95   50574.35
2023 07 10 191 00 50 20   29191.81    1746.61   39955.97   50574.42
2023 07 10 191 00 50 25   29191.84    1746.65   39955.93   50574.44
2023 07 10 191 00 50 30   29191.84    1746.70   39955.88   50574.38
2023 07 10 191 00 50 35   29191.83    1746.73   39955.87   50574.39
2023 07 10 191 00 50 40   29191.86    1746.75   39955.86   50574.43
2023 07 10 191 00 50 45   29191.91    1746.76   39955.80   50574.31
2023 07 10 191 00 50 50   29191.89    1746.75   39955.82   50574.36
2023 07 10 191 00 50 55   29191.88    1746.75   39955.85   50574.41
2023 07 10 191 00 51 00   29191.83    1746.76   39955.85   50574.31
2023 07 10 191 00 51 05   29191.81    1746.79   39955.84   50574.34
2023 07 10 191 00 51 10   29191.75    1746.82   39955.82   50574.31
2023 07 10 191 00 51 15   29191.67    1746.85   39955.82   50574.29
2023 07 10 191 00 51 20   29191.60    1746.90   39955.79   50574.15
2023 07 10 191 00 51 25   29191.55    1746.93   39955.75   50574.16
2023 07 10 191 00 51 30   29191.55    1746.92   39955.71   50574.05
2023 07 10 191 00 51 35   29191.60    1746.93   39955.69   50574.07
2023 07 10 191 00 51 40   29191.68    1746.91   39955.68   50574.14
2023 07 10 191 00 51 45   29191.68    1746.87   39955.68   50574.10
2023 07 10 191 00 51 50   29191.64    1746.84   39955.68   50574.12
2023 07 10 191 00 51 55   29191.64    1746.82   39955.64   50574.15
2023 07 10 191 00 52 00   29191.63    1746.78   39955.65   50574.06
2023 07 10 191 00 52 05   29191.67    1746.80   39955.65   50574.10
2023 07 10 191 00 52 10   29191.65    1746.83   39955.65   50574.07
2023 07 10 191 00 52 15   29191.66    1746.90   39955.58   50574.10
2023 07 10 191 00 52 20   29191.63    1746.89   39955.59   50574.00
2023 07 10 191 00 52 25   29191.60    1746.87   39955.60   50574.08
2023 07 10 191 00 52 30   29191.61    1746.83   39955.60   50573.99
2023 07 10 191 00 52 35   29191.64    1746.81   39955.63   50574.05
2023 07 10 191 00 52 40   29191.70    1746.81   39955.62   50574.14
2023 07 10 191 00 52 45   29191.76    1746.80   39955.64   50574.12
2023 07 10 191 00 52 50   29191.81    1746.81   39955.66   50574.21
2023 07 10 191 00 52 55   29191.83    1746.80   39955.63   50574.25
2023 07 10 191 00 53 00   29191.76    1746.85   39955.61   50574.13
2023 07 10 191 00 53 05   29191.68    1746.91   39955.60   50574.11
2023 07 10 191 00 53 10   29191.59    1746.96   39955.55   50573.99
2023 07 10 191 00 53 15   29191.55    1747.01   39955.51   50573.98
2023 07 10 191 00 53 20   29191.54    1747.06   39955.48   50573.88
2023 07 10 191 00 53 25   29191.59    1747.11   39955.41   50573.85
2023 07 10 191 00 53 30   29191.61    1747.11   39955.39   50573.87
2023 07 10 191 00 53 35   29191.63    1747.10   39955.37   50573.80
2023 07 10 191 00 53 40   29191.61    1747.09   39955.33   50573.86
2023 07 10 191 00 53 45   29191.59    1747.00   39955.40   50573.84
2023 07 10 191 00 53 50   29191.65    1746.98   39955.45   50573.87
2023 07 10 191 00 53 55   29191.71    1746.96   39955.46   50574.04
2023 07 10 191 00 54 00   29191.79    1746.98   39955.45   50573.99
2023 07 10 191 00 54 05   29191.75    1746.98   39955.51   50574.05
2023 07 10 191 00 54 10   29191.72    1746.98   39955.51   50574.06
2023 07 10 191 00 54 15   29191.74    1746.98   39955.50   50573.99
2023 07 10 191 00 54 20   29191.79    1746.97   39955.47   50573.98
2023 07 10 191 00 54 25   29191.83    1746.94   39955.49   50574.10
2023 07 10 191 00 54 30   29191.89    1746.94   39955.50   50574.06
2023 07 10 191 00 54 35   29191.99    1746.93   39955.49   50574.15
2023 07 10 191 00 54 40   29192.10    1746.94   39955.51   50574.28
2023 07 10 191 00 54 45   29192.18    1746.93   39955.51   50574.24
2023 07 10 191 00 54 50   29192.21    1746.92   39955.50   50574.30
2023 07 10 191 00 54 55   29192.20    1746.89   39955.51   50574.35
2023 07 10 191 00 55 00   29192.21    1746.84   39955.54   50574.28
