iyr mon idm doy ihr min sec power
 10  3 11  70  9 13 10.0   0.118E-02
 10  3 11  70  9 14 40.0   0.459E-03
 10  3 11  70  9 16 10.0   0.169E-03
 10  3 11  70  9 17 40.0   0.200E-03
 10  3 11  70  9 19 10.0   0.984E-04
 10  3 11  70  9 20 40.0   0.267E-03
 10  3 11  70  9 22 10.0   0.172E-03
 10  3 11  70  9 23 40.0   0.241E-03
 10  3 11  70  9 25 10.0   0.260E-03
 10  3 11  70  9 26 40.0   0.426E-03
 10  3 11  70  9 28 10.0   0.584E-03
 10  3 11  70  9 29 40.0   0.884E-03
 10  3 11  70  9 31 10.0   0.131E-03
 10  3 11  70  9 32 40.0   0.364E-03
 10  3 11  70  9 34 10.0   0.412E-03
 10  3 11  70  9 35 40.0   0.883E-04
 10  3 11  70  9 37 10.0   0.781E-04
 10  3 11  70  9 38 40.0   0.130E-03
 10  3 11  70  9 40 10.0   0.141E-03
 10  3 11  70  9 41 40.0   0.106E-03
 10  3 11  70  9 43 10.0   0.917E-04
 10  3 11  70  9 44 40.0   0.204E-03
 10  3 11  70  9 46 10.0   0.171E-03
 10  3 11  70  9 47 40.0   0.112E-03
 10  3 11  70  9 49 10.0   0.682E-04
 10  3 11  70  9 50 40.0   0.565E-04
 10  3 11  70  9 52 10.0   0.708E-04
 10  3 11  70  9 53 40.0   0.270E-04
 10  3 11  70  9 55 10.0   0.163E-03
 10  3 11  70  9 56 40.0   0.395E-03
 10  3 11  70  9 58 10.0   0.227E-03
 10  3 11  70  9 59 40.0   0.482E-03
 10  3 11  70 10  1 10.0   0.125E-03
 10  3 11  70 10  2 40.0   0.340E-04
 10  3 11  70 10  4 10.0   0.397E-04
 10  3 11  70 10  5 40.0   0.513E-04
 10  3 11  70 10  7 10.0   0.711E-04
 10  3 11  70 10  8 40.0   0.804E-04
 10  3 11  70 10 10 10.0   0.176E-03
 10  3 11  70 10 11 40.0   0.129E-03
 10  3 11  70 10 13 10.0   0.404E-04
 10  3 11  70 10 14 40.0   0.996E-04
 10  3 11  70 10 16 10.0   0.173E-03
 10  3 11  70 10 17 40.0   0.238E-04
 10  3 11  70 10 19 10.0   0.452E-04
 10  3 11  70 10 20 40.0   0.380E-04
 10  3 11  70 10 22 10.0   0.799E-04
 10  3 11  70 10 23 40.0   0.144E-03
 10  3 11  70 10 25 10.0   0.162E-03
